San Diego 1
AUDEO CHARTER SCHOOL|San Diego|San Diego||AUDEO CHARTER II|San Diego|Audeo Charter II|92056
BONITA VISTA HIGH SCHOOL|San Diego|Chula Vista||BONITA VISTA SENIOR HIGH|San Diego|Sweetwater Union High|91913
CASTLE PARK HIGH SCHOOL|San Diego|Chula Vista||CASTLE PARK SENIOR HIGH|San Diego|Sweetwater Union High|91911
CHARTER SCHOOL OF SAN DIEGO|San Diego|San Diego||ALTUS SCHOOLS CHARTER SCHOOL OF SAN DIEGO|San Diego|Altus Schools Charter School of San Diego|92121
CHULA VISTA LRNG CMNTY CHARTER|San Diego|Chula Vista||CHULA VISTA LEARNING COMMUNITY CHARTER|San Diego|Chula Vista Learning Community Charter|91911
CITY HEIGHTS PREP CHARTER SCHL|San Diego|San Diego||CITY HEIGHTS PREPARATORY CHARTER|San Diego|City Heights Preparatory Charter|92115
COASTAL ACADEMY HS OCEANSIDE|San Diego|Oceanside||COASTAL ACADEMY CHARTER|San Diego|Coastal Academy Charter|92056
DEL LAGO ACADEMY|San Diego|Escondido||DEL LAGO ACADEMY - CAMPUS OF APPLIED SCIENCE|San Diego|Escondido Union High|92029
GUAJOME PARK ACADEMY|San Diego|Vista||GUAJOME PARK ACADEMY CHARTER|San Diego|Guajome Park Academy Charter|92083
HEALTH SCIENCES HIGH/MID COLL|San Diego|San Diego||HEALTH SCIENCES HIGH AND MIDDLE COLLEGE|San Diego|Health Sciences High and Middle College|92105
HERBERT HOOVER HIGH SCHOOL|San Diego|San Diego||HOOVER HIGH|San Diego|San Diego Unified|92115
HIGH TECH HIGH - NORTH COUNTY|San Diego|San Marcos||HIGH TECH HIGH NORTH COUNTY|San Diego|High Tech High North County|92078
HILLTOP HIGH SCHOOL|San Diego|Chula Vista||HILLTOP SENIOR HIGH|San Diego|Sweetwater Union High|91910
JAMES MADISON HIGH SCHOOL|San Diego|San Diego||MADISON HIGH|San Diego|San Diego Unified|92117
JULIAN CHARTER SCHOOL LIVE|San Diego|Julian||JULIAN CHARTER|San Diego|Julian Charter|92036
KEARNY SCH BIOMED SCIENCE TECH|San Diego|San Diego||KEARNY SCHOOL OF BIOMEDICAL SCIENCE AND TECHNOLOGY|San Diego|San Diego Unified|92111
